date,symbol,entry_time,entry_price,entry_method,burst_logic,price_source,signal_pct,post_exit_pct,post_exit_note,entry_rsi,mfe_pct,mae_pct,exit_time,exit_price,exit_reason,stop_loss_used,exit_rsi,qty,pl,pl_pct,list_source,entry_slippage_pct,decision_price,fill_price,exit_slippage_pct
2026-09-22,TWST,2026-09-22T13:34:02.380950,167.5,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,1.821,bounced - exit was early,,0.0,-1.0567,2026-09-22T13:34:22.393227,164.45,GAP_EXIT,True,71.46537842190017,21,-64.05000000000024,-1.8208955223880667,screener,0.9188,164.45,,
2026-09-22,MLKN,2026-09-22T13:34:29.284732,20.95,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",REST,,-5.574,gave it back,,1.9093,0.0,2026-09-22T13:35:01.734684,21.35,TAKE_PROFIT_1.5%,False,29.166666666666657,47,18.8000000000001,1.9093078758949982,earnings,-0.8049,21.35,,
2026-09-22,CDNS,2026-09-22T13:35:02.117020,295.44,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",tick,,-0.195,kept falling - exit was right,,0.6567,-0.0745,2026-09-22T13:35:09.015331,295.22,BREAKEVEN_STOP,False,27.214137214137224,14,-3.079999999999586,-0.07446520444082401,qqq,-0.6524,295.22,,
2026-09-22,ZS,2026-09-22T13:35:02.173921,205.819375,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",tick,,-0.773,kept falling - exit was right,,1.0682,-0.33,2026-09-22T13:35:12.610510,205.1401,BREAKEVEN_STOP,False,60.08234911691407,16,-10.868400000000292,-0.33003452663288785,qqq,-1.0569,205.1401,,
2026-09-22,ZS,2026-09-22T13:35:02.173921,205.819375,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",tick,,-0.773,kept falling - exit was right,,1.0682,-0.33,2026-09-22T13:35:23.284878,205.1401,BREAKEVEN_STOP,False,60.08234911691407,3,-2.037825000000055,-0.33003452663288785,qqq,-1.0569,205.1401,,
2026-09-22,COHR,2026-09-22T13:33:48.971853,312.323636,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,0.798,ran further,,1.0714,-0.1036,2026-09-22T13:37:02.254440,315.67,TAKE_PROFIT_1%,False,62.83979863784423,4,13.385455999999976,1.071441163678049,screener,-0.0201,315.67,,
2026-09-22,GOOG,2026-09-22T13:34:12.407889,354.75,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,0.747,ran further,,0.3357,-0.186,2026-09-22T13:38:01.437134,354.91,BREAKEVEN_STOP,False,63.409090909090835,19,3.040000000000475,0.04510218463707541,qqq,0.0447,354.91,,
2026-09-22,BE,2026-09-22T13:37:25.501915,274.99,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,0.411,ran further,,1.0655,-0.4837,2026-09-22T13:38:01.594802,277.92,TAKE_PROFIT_1%,False,69.48002573550914,4,11.720000000000027,1.0654932906651176,screener,0.0619,277.92,,
2026-09-22,CRWV,2026-09-22T13:35:34.379644,85.5,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,1.395,ran further,,1.4386,-0.2339,2026-09-22T13:39:00.496463,86.73,TAKE_PROFIT_1.25%,False,50.49858889934149,12,14.760000000000048,1.4385964912280749,screener,-0.0351,86.73,,
2026-09-22,BE,2026-09-22T13:37:25.501915,274.99,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,-0.009,flat,,1.5964,-0.4837,2026-09-22T13:39:00.613642,279.38,TAKE_PROFIT_1.5%,False,69.48002573550914,8,35.11999999999989,1.596421688061379,screener,0.0619,279.38,,
