date,symbol,entry_time,entry_price,entry_method,burst_logic,price_source,signal_pct,post_exit_pct,post_exit_note,entry_rsi,mfe_pct,mae_pct,exit_time,exit_price,exit_reason,stop_loss_used,exit_rsi,qty,pl,pl_pct,list_source,entry_slippage_pct,decision_price,fill_price,exit_slippage_pct
2026-09-24,COIN,2026-09-24T13:40:04.199941,198.56,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,-0.415,kept falling - exit was right,,0.0045,-1.2087,2026-09-24T13:42:01.721151,196.16,FINAL_EXIT_-1.0%,True,59.28640463917526,17,-40.8000000000001,-1.208702659145853,screener,-0.0045,196.16,,
2026-09-24,SAIL,2026-09-24T13:33:28.459345,21.46,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,-1.151,gave it back,,,,2026-09-24T13:45:11.402278,21.715,ORPHAN_RECONCILE,False,,15,3.824999999999985,1.1882572227399766,screener,0.3742,21.715,,
2026-09-24,VKTX,2026-09-24T13:36:06.253194,35.855567,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,-1.455,gave it back,,1.5742,-0.2386,2026-09-24T13:46:04.316914,36.42,TAKE_PROFIT_1.5%,False,70.39457150037697,68,38.38144400000007,1.574185118868713,screener,0.0387,36.42,,
2026-09-24,DDOG,2026-09-24T13:33:45.087957,250.44,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,0.848,bounced - exit was early,,0.012,-1.0781,2026-09-24T13:47:07.716546,247.74,FINAL_EXIT_-1.0%,True,79.53013136859664,7,-18.89999999999992,-1.078102539530422,qqq,0.16,247.74,,
2026-09-24,FTNT,2026-09-24T13:35:28.848784,178.96,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,0.638,bounced - exit was early,,0.4861,-0.4371,2026-09-24T13:47:07.852546,178.56,BREAKEVEN_STOP,False,80.95971259943548,24,-9.600000000000136,-0.22351363433169738,qqq,0.1399,178.56,,
2026-09-24,MRVL,2026-09-24T13:37:03.555330,256.18,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=5 >= 5, took <= 3 at 0.5x size",tick,,-1.504,gave it back,,1.5575,-0.7768,2026-09-24T13:47:08.180135,260.17,TAKE_PROFIT_1.5%,False,75.07408779403595,4,15.960000000000036,1.5574986337731318,qqq,0.7829,260.17,,
2026-09-24,GME,2026-09-24T13:37:07.469373,24.02,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",tick,,-1.078,kept falling - exit was right,,0.3331,-0.0833,2026-09-24T13:47:08.282187,24.019,BREAKEVEN_STOP,False,89.80988593155895,183,-0.18300000000022365,-0.004163197335558793,screener,0.0625,24.019,,
2026-09-24,PANW,2026-09-24T13:35:40.330491,393.01,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,-0.008,flat,,0.7214,-0.7074,2026-09-24T13:47:19.219610,390.23,BREAKEVEN_STOP,False,79.99629217649237,7,-19.45999999999981,-0.7073611358489537,qqq,0.1481,390.23,,
2026-09-24,DOCN,2026-09-24T13:47:09.041014,139.91,RAPID_INCREASE_IMMEDIATE,"THROTTLED: burst=10 >= 5, took <= 3 at 0.5x size",tick,,-0.353,kept falling - exit was right,,0.0,-0.9077,2026-09-24T13:47:41.158552,138.64,TRAILING_STOP,True,72.04839892446837,9,-11.430000000000092,-0.9077263955399973,screener,0.3379,138.64,,
2026-09-24,NVDA,2026-09-24T13:33:25.011382,222.028461,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,0.074,flat,,0.5096,-0.3461,2026-09-24T13:50:09.615873,222.4401,TRAILING_STOP,True,51.28734383487235,13,5.351307000000105,0.18539920429390722,qqq,0.0254,222.4401,,
