trade_id,symbol,date,timestamp,price,gain_pct
CRDO-20260923T13302605575,CRDO,2026-09-23,2026-09-23T09:30:45.259114-04:00,193.35,-0.0775
CRDO-20260923T13302605575,CRDO,2026-09-23,2026-09-23T09:30:49.824208-04:00,193.53,0.0155
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:32:42.326657-04:00,106.69,0.0657
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:32:45.536961-04:00,106.58,-0.0375
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:32:48.803858-04:00,106.59,-0.0281
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:32:52.004701-04:00,106.64,0.0188
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:32:55.196215-04:00,106.68,0.0563
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:32:58.443036-04:00,106.64,0.0188
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:01.635836-04:00,106.6527,0.0307
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:05.063936-04:00,106.6444,-0.0044
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:05.063936-04:00,235.755,-0.315
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:08.541156-04:00,106.63,-0.0179
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:08.541156-04:00,235.4199,-0.4567
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:12.011594-04:00,106.682,0.0309
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:12.011594-04:00,235.755,-0.315
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:15.451715-04:00,106.61,-0.0367
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:15.451715-04:00,235.755,-0.315
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:18.880995-04:00,106.6444,-0.0166
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:18.880995-04:00,235.99,-0.2156
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:22.226933-04:00,106.62,-0.0395
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:22.226933-04:00,235.7,-0.3383
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:25.517288-04:00,106.67,0.0074
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:25.517288-04:00,235.7,-0.3383
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:28.965255-04:00,106.6,-0.0581
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:28.965255-04:00,235.305,-0.5053
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:32.462556-04:00,106.64,-0.0206
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:32.462556-04:00,235.75,-0.3171
CSCO-20260923T13322315067,CSCO,2026-09-23,2026-09-23T09:33:35.903878-04:00,106.7078,0.0429
NXPI-20260923T13324564876,NXPI,2026-09-23,2026-09-23T09:33:35.903878-04:00,235.75,-0.3171
ZS-20260923T13332590344,ZS,2026-09-23,2026-09-23T09:33:35.903878-04:00,211.12,-0.3446
AXTI-20260923T13332596422,AXTI,2026-09-23,2026-09-23T09:33:35.903878-04:00,76.87,-0.1656
