date,symbol,entry_time,entry_price,entry_method,burst_logic,price_source,signal_pct,post_exit_pct,post_exit_note,entry_rsi,mfe_pct,mae_pct,exit_time,exit_price,exit_reason,stop_loss_used,exit_rsi,qty,pl,pl_pct,list_source,entry_slippage_pct,decision_price,fill_price,exit_slippage_pct
2026-09-23,CRDO,2026-09-23T13:30:26.055757,193.5,OPENING_MOVE,"OPENING_BURST: +0.889% from the 09:30 baseline 191.1800, decided 09:30:25",tick,0.889,0.782,bounced - exit was early,,0.0,-1.2145,2026-09-23T13:30:49.969340,191.15,FINAL_EXIT_-0.85%,True,43.81066918649601,4,-9.399999999999977,-1.214470284237723,screener,0.3214,191.15,,
2026-09-23,CRWD,2026-09-23T13:33:09.010884,252.426667,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,1.747,bounced - exit was early,,0.0013,-1.1356,2026-09-23T13:33:39.446394,249.56,FINAL_EXIT_-1.0%,True,68.3696508269887,6,-17.20000200000004,-1.1356434857177775,qqq,0.753,249.56,,
2026-09-23,ZS,2026-09-23T13:33:25.903440,211.85,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,1.533,bounced - exit was early,,0.0,-0.8355,2026-09-23T13:33:39.537688,210.08,TRAILING_STOP,True,68.69856571831647,3,-5.309999999999945,-0.8354968137833287,qqq,0.1394,210.08,,
2026-09-23,SEI,2026-09-23T13:33:39.888457,64.790384,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,1.599,bounced - exit was early,,0.3081,-0.1009,2026-09-23T13:33:56.603323,64.725,BREAKEVEN_STOP,False,68.33809251856084,26,-1.699984000000228,-0.10091621003513232,screener,-0.3071,64.725,,
2026-09-23,CTAS,2026-09-23T13:34:10.127134,198.07,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",REST,,0.102,flat,,0.0,-0.7119,2026-09-23T13:35:03.390956,196.66,FIRST_EXIT_-0.7%,True,44.734013970983334,1,-1.4099999999999966,-0.7118695410713367,earnings,0.63,196.66,,
2026-09-23,AXTI,2026-09-23T13:33:25.964220,76.999545,RAPID_INCREASE_IMMEDIATE,"normal: burst=2 < threshold 5, full size",tick,,-0.353,kept falling - exit was right,,0.077,-0.7007,2026-09-23T13:35:07.080579,76.46,TRAILING_STOP,True,70.6791301030141,15,-8.093175000000059,-0.7007119327783092,screener,-0.0769,76.46,,
2026-09-23,GFS,2026-09-23T13:33:46.792720,47.54,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",tick,,-0.803,kept falling - exit was right,,0.0,-0.5469,2026-09-23T13:35:28.440417,47.34,TRAILING_STOP,True,64.65048895327783,40,-7.9999999999998295,-0.4206983592763899,qqq,0.2531,47.34,,
2026-09-23,CTAS,2026-09-23T13:34:10.127134,198.07,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",REST,,0.102,flat,,0.0,-0.7119,2026-09-23T13:35:29.504855,196.66,FINAL_EXIT_-0.5%,True,44.734013970983334,4,-5.639999999999986,-0.7118695410713367,earnings,0.63,196.66,,
2026-09-23,LRCX,2026-09-23T13:34:49.531727,306.45,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,-1.98,kept falling - exit was right,,0.2168,-0.1468,2026-09-23T13:35:29.595876,306.245,BREAKEVEN_STOP,False,58.0140186915888,5,-1.0249999999999204,-0.06689508892151545,qqq,-0.2163,306.245,,
2026-09-23,HUT,2026-09-23T13:35:21.016345,106.24,RAPID_INCREASE_IMMEDIATE,"normal: burst=4 < threshold 5, full size",tick,,0.005,flat,,0.0094,-0.7342,2026-09-23T13:35:38.332715,105.46,FINAL_EXIT_-0.5%,True,70.80407051741437,16,-12.480000000000018,-0.7341867469879528,screener,-0.0094,105.46,,
2026-09-23,QCOM,2026-09-23T13:33:32.903016,197.38125,RAPID_INCREASE_IMMEDIATE,"normal: burst=1 < threshold 5, full size",tick,,-0.535,kept falling - exit was right,,0.0044,-0.4566,2026-09-23T13:37:02.111236,196.48,TRAILING_STOP,True,74.2125382262997,8,-7.210000000000036,-0.4566036540958194,qqq,0.1035,196.48,,
2026-09-23,CSCO,2026-09-23T13:32:23.150674,106.662,OPENING_MOVE,"OPENING_BURST: +0.254% from the 09:30 baseline 106.1900, decided 09:32:23",tick,0.254,-0.469,kept falling - exit was right,,0.1247,-0.1894,2026-09-23T13:38:03.894844,106.54,BREAKEVEN_STOP,False,42.92766688130498,15,-1.8299999999999983,-0.11438000412518036,qqq,0.1897,106.54,,
2026-09-23,NXPI,2026-09-23T13:32:45.648767,236.5,OPENING_MOVE,"OPENING_BURST: +0.203% from the 09:30 baseline 235.9000, decided 09:32:45",tick,0.203,-0.692,kept falling - exit was right,,0.0,-0.4249,2026-09-23T13:39:01.472657,235.495,TRAILING_STOP,True,60.86274509803923,12,-12.059999999999945,-0.4249471458773765,qqq,0.0508,235.495,,
2026-09-23,CDNS,2026-09-23T13:34:56.323567,309.68,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,-1.375,gave it back,,1.2045,-0.2745,2026-09-23T13:40:02.592305,313.41,TAKE_PROFIT_1%,False,43.4272599770496,3,11.190000000000055,1.2044691294239274,qqq,0.1083,313.41,,
2026-09-23,CRDO,2026-09-23T13:30:26.055757,193.5,OPENING_MOVE,"OPENING_BURST: +0.889% from the 09:30 baseline 191.1800, decided 09:30:25",tick,0.889,0.157,bounced - exit was early,,,,2026-09-23T13:40:31.594155,191.3,ORPHAN_RECONCILE,False,,2,-4.399999999999977,-1.136950904392759,screener,0.3214,191.3,,
2026-09-23,CDNS,2026-09-23T13:34:56.323567,309.68,RAPID_INCREASE_IMMEDIATE,"normal: burst=3 < threshold 5, full size",tick,,-0.883,gave it back,,1.2045,-0.2745,2026-09-23T13:41:02.632992,312.42,TRAILING_STOP,True,43.4272599770496,5,13.700000000000045,0.884784293464224,qqq,0.1083,312.42,,
