trade_id,date,symbol,entry_time,entry_price,position_size,entry_method,size_multiplier,spy_return,qqq_return,spy_vs_vwap,qqq_vs_vwap,market_breadth,regime,stock_vs_vwap,relative_volume,momentum,continuation_score,sector_strength,spread_pct,mfe_pct,mae_pct,exit_time,exit_price,exit_reason,realized_pnl,realized_pnl_pct
CRDO-20260923T13302605575,2026-09-23,CRDO,2026-09-23T13:30:26.055757,193.5,6,OPENING_MOVE,0.6,,,,,,,,,0.889,,,,0.0,-1.2145,2026-09-23T13:30:45.431114,191.15,FINAL_EXIT_-0.85%,-14.099999999999966,-1.214470284237723,0.3214,,
CRDO-20260923T13302605575,2026-09-23,CRDO,2026-09-23T13:30:26.055757,193.5,4,OPENING_MOVE,0.6,,,,,,,,,0.889,,,,0.0,-1.2145,2026-09-23T13:30:49.969340,191.15,FINAL_EXIT_-0.85%,-9.399999999999977,-1.214470284237723,0.3214,,
ZS-20260923T13332590344,2026-09-23,ZS,2026-09-23T13:33:25.903440,211.85,2,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015610812630334779,-0.09139201422147047,-0.4638790235820417,neutral,0.667,1.0,0.997,65.30614995400184,74.9,10.5646,0.0,-0.8355,2026-09-23T13:33:36.029184,210.08,FIRST_EXIT_-0.7%,-3.5399999999999636,-0.8354968137833287,0.1394,,
CRWD-20260923T13330901088,2026-09-23,CRWD,2026-09-23T13:33:09.010884,252.426667,6,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.01578324103859432,-0.09957714955997408,-0.4735634967936593,neutral,0.2347,1.0,0.393,61.05488582937006,59.8,5.3445,0.0013,-1.1356,2026-09-23T13:33:39.446394,249.56,FINAL_EXIT_-1.0%,-17.20000200000004,-1.1356434857177775,0.753,,
ZS-20260923T13332590344,2026-09-23,ZS,2026-09-23T13:33:25.903440,211.85,3,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015610812630334779,-0.09139201422147047,-0.4638790235820417,neutral,0.667,1.0,0.997,65.30614995400184,74.9,10.5646,0.0,-0.8355,2026-09-23T13:33:39.537688,210.08,TRAILING_STOP,-5.309999999999945,-0.8354968137833287,0.1394,,
SEI-20260923T13333988845,2026-09-23,SEI,2026-09-23T13:33:39.888457,64.790384,26,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015483396327102064,-0.08573055377935002,-0.46029513850922804,neutral,0.6634,1.0,0.355,49.492001581892566,,29.9585,0.3081,-0.1009,2026-09-23T13:33:56.603323,64.725,BREAKEVEN_STOP,-1.699984000000228,-0.10091621003513232,-0.3071,,
AXTI-20260923T13332596422,2026-09-23,AXTI,2026-09-23T13:33:25.964220,76.999545,7,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015610812630334779,-0.09139201422147047,-0.4638790235820417,neutral,0.4218,1.0,0.402,48.84994685036203,,28.6664,0.077,-0.7007,2026-09-23T13:35:02.847517,76.46,FIRST_EXIT_-0.7%,-3.7768150000000276,-0.7007119327783092,-0.0769,,
CTAS-20260923T13341012713,2026-09-23,CTAS,2026-09-23T13:34:10.127134,198.07,1,RAPID_INCREASE_IMMEDIATE,1.0,0.036,-0.051,0.012420030946107602,-0.0435035349924697,-0.29536706401717444,neutral,0.461,0.979,0.536,58.78660131999636,,9.6428,0.0,-0.7119,2026-09-23T13:35:03.390956,196.66,FIRST_EXIT_-0.7%,-1.4099999999999966,-0.7118695410713367,0.63,,
AXTI-20260923T13332596422,2026-09-23,AXTI,2026-09-23T13:33:25.964220,76.999545,15,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015610812630334779,-0.09139201422147047,-0.4638790235820417,neutral,0.4218,1.0,0.402,48.84994685036203,,28.6664,0.077,-0.7007,2026-09-23T13:35:07.080579,76.46,TRAILING_STOP,-8.093175000000059,-0.7007119327783092,-0.0769,,
GFS-20260923T13334679272,2026-09-23,GFS,2026-09-23T13:33:46.792720,47.54,40,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015422875181212348,-0.08314788961146437,-0.46924146178424747,neutral,0.1408,1.0,0.402,49.261120320203815,,1.3707,0.0,-0.5469,2026-09-23T13:35:28.440417,47.34,TRAILING_STOP,-7.9999999999998295,-0.4206983592763899,0.2531,,
CTAS-20260923T13341012713,2026-09-23,CTAS,2026-09-23T13:34:10.127134,198.07,4,RAPID_INCREASE_IMMEDIATE,1.0,0.036,-0.051,0.012420030946107602,-0.0435035349924697,-0.29536706401717444,neutral,0.461,0.979,0.536,58.78660131999636,,9.6428,0.0,-0.7119,2026-09-23T13:35:29.504855,196.66,FINAL_EXIT_-0.5%,-5.639999999999986,-0.7118695410713367,0.63,,
LRCX-20260923T13344953172,2026-09-23,LRCX,2026-09-23T13:34:49.531727,306.45,5,RAPID_INCREASE_IMMEDIATE,1.0,0.036,-0.051,0.011329938390129636,-0.03852630528912726,-0.45057755918606157,neutral,0.2567,0.828,0.348,41.820438874578954,56.3,6.2876,0.2168,-0.1468,2026-09-23T13:35:29.595876,306.245,BREAKEVEN_STOP,-1.0249999999999204,-0.06689508892151545,-0.2163,,
HUT-20260923T13352101634,2026-09-23,HUT,2026-09-23T13:35:21.016345,106.24,16,RAPID_INCREASE_IMMEDIATE,1.0,-0.047,-0.055,-0.034670701919503784,-0.10605510680391111,-0.41925803288134533,neutral,0.7363,0.314,0.321,37.24373443490075,68.2,28.96,0.0094,-0.7342,2026-09-23T13:35:38.332715,105.46,FINAL_EXIT_-0.5%,-12.480000000000018,-0.7341867469879528,-0.0094,,
QCOM-20260923T13333290301,2026-09-23,QCOM,2026-09-23T13:33:32.903016,197.38125,8,RAPID_INCREASE_IMMEDIATE,1.0,0.006,-0.204,0.015546005492221172,-0.0884734647243801,-0.43934320925808806,neutral,0.0637,1.0,0.329,51.78884629208031,58.2,8.2007,0.0044,-0.4566,2026-09-23T13:37:02.111236,196.48,TRAILING_STOP,-7.210000000000036,-0.4566036540958194,0.1035,,
CSCO-20260923T13322315067,2026-09-23,CSCO,2026-09-23T13:32:23.150674,106.662,15,OPENING_MOVE,0.6,0.004,-0.186,0.01351393723412625,-0.10277950534252171,-0.3522153944909149,neutral,,,0.254,,,0.1221,0.1247,-0.1894,2026-09-23T13:38:03.894844,106.54,BREAKEVEN_STOP,-1.8299999999999983,-0.11438000412518036,0.1897,,
NXPI-20260923T13324564876,2026-09-23,NXPI,2026-09-23T13:32:45.648767,236.5,12,OPENING_MOVE,0.6,0.004,-0.186,0.013393500761361267,-0.09346604651432233,-0.24461024639600712,neutral,,,0.203,,,,0.0,-0.4249,2026-09-23T13:39:01.472657,235.495,TRAILING_STOP,-12.059999999999945,-0.4249471458773765,0.0508,,
CDNS-20260923T13345632356,2026-09-23,CDNS,2026-09-23T13:34:56.323567,309.68,3,RAPID_INCREASE_IMMEDIATE,1.0,0.036,-0.051,0.011169500381131006,-0.03777806066195421,-0.4956157045336647,neutral,0.3053,1.076,0.348,48.39330384092314,,5.266,1.2045,-0.2745,2026-09-23T13:40:02.592305,313.41,TAKE_PROFIT_1%,11.190000000000055,1.2044691294239274,0.1083,,
CRDO-20260923T13302605575,2026-09-23,CRDO,2026-09-23T13:30:26.055757,193.5,2,OPENING_MOVE,0.6,,,,,,,,,0.889,,,,,,2026-09-23T13:40:31.594155,191.3,ORPHAN_RECONCILE,-4.399999999999977,-1.136950904392759,0.3214,,
CDNS-20260923T13345632356,2026-09-23,CDNS,2026-09-23T13:34:56.323567,309.68,5,RAPID_INCREASE_IMMEDIATE,1.0,0.036,-0.051,0.011169500381131006,-0.03777806066195421,-0.4956157045336647,neutral,0.3053,1.076,0.348,48.39330384092314,,5.266,1.2045,-0.2745,2026-09-23T13:41:02.632992,312.42,TRAILING_STOP,13.700000000000045,0.884784293464224,0.1083,,
